SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.367045,1.0050
2,1,0.563255,.9871
3,1,0.555185,1.1325
4,1,0.54267,1.2427
5,1,0.69884,1.3037
6,1,0.637345,1.4415
7,1,0.69068,1.3496
8,1,0.68355,1.3459
9,1,0.751775,1.5402
10,1,0.76369,1.5240
20,0.995,0.80462,3.2857
30,0.978333,0.81573,8.9868
40,0.975,0.838715,17.9015
50,0.976,0.844045,23.8563
60,0.958333,0.847755,33.1900
70,0.955,0.851165,42.5053
80,0.961875,0.861745,47.9552
90,0.95,0.85889,50.8400
100,0.9465,0.867225,90.0537
110,0.948636,0.87362,67.9627
120,0.943333,0.872135,100.0886
130,0.942692,0.87324,113.5650
140,0.941071,0.8774,238.2749
150,0.944667,0.873655,180.6781
160,0.942813,0.87975,122.5378
170,0.935588,0.878215,208.8451
180,0.935278,0.87633,191.3379
190,0.938158,0.87861,239.2644
200,0.9345,0.87649,193.6495
210,0.934524,0.883175,273.1189
220,0.938182,0.88185,683.9796
230,0.933696,0.884265,345.2416
240,0.930417,0.88404,430.0198
250,0.9298,0.88209,440.6516
