SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.469685,.2332
2,1,0.574435,.2367
3,1,0.6033,.2384
4,1,0.59738,.2496
5,1,0.630975,.2626
6,1,0.640355,.2652
7,1,0.632075,.2935
8,1,0.641275,.3047
9,0.983333,0.648055,.4035
10,0.975,0.62913,.4816
20,0.9475,0.758535,.8444
30,0.931667,0.78381,1.4336
40,0.9225,0.78256,2.1342
50,0.897,0.769825,2.5972
60,0.9,0.800465,3.5134
70,0.883571,0.796965,3.7719
80,0.891875,0.8039,4.2164
90,0.892778,0.818555,4.9997
100,0.8815,0.826305,5.6382
110,0.886364,0.819575,6.2547
120,0.885,0.816445,7.1407
130,0.886154,0.82897,7.4075
140,0.884286,0.83025,8.6496
150,0.881333,0.829295,9.7367
160,0.884063,0.830825,9.8801
170,0.870588,0.836165,11.8431
180,0.874722,0.83813,11.1396
190,0.87,0.83693,11.9549
200,0.874,0.84404,14.4706
210,0.872143,0.84336,13.7532
220,0.868864,0.839965,14.7382
230,0.866957,0.84301,15.6896
240,0.873333,0.846685,14.3758
250,0.8762,0.84767,14.9497
