SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.538825,.8972
2,1,0.48662,.9076
3,1,0.589,.9452
4,1,0.68178,1.0013
5,1,0.75261,1.0256
6,1,0.67927,1.0251
7,1,0.715735,1.1764
8,1,0.671185,1.1200
9,0.994444,0.65587,1.7862
10,1,0.73184,1.3507
20,0.9925,0.81444,4.2656
30,0.986667,0.86642,7.1272
40,0.99125,0.886795,8.2966
50,0.976,0.883375,13.9388
60,0.964167,0.879895,35.0379
70,0.970714,0.89163,34.8793
80,0.969375,0.89404,38.2489
90,0.967222,0.89793,74.4076
100,0.966,0.899695,51.0776
110,0.971818,0.89849,43.2166
120,0.962917,0.901915,72.2632
130,0.969231,0.90285,68.4875
140,0.961071,0.89978,81.1027
150,0.957333,0.9064,116.6944
160,0.965,0.90175,122.5107
170,0.955588,0.90712,126.1401
180,0.956667,0.91111,264.1083
190,0.957895,0.90665,399.6729
200,0.95575,0.910585,380.4343
210,0.958571,0.905495,592.5834
220,0.945,0.90463,384.0661
230,0.953913,0.90914,266.9846
240,0.954583,0.91038,521.6141
250,0.9566,0.911245,597.4609
