SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.335725,.0923
2,1,0.625035,.0986
3,1,0.59215,.0987
4,1,0.52351,.1032
5,1,0.61051,.1052
6,1,0.655935,.1058
7,1,0.655205,.1145
8,1,0.666125,.1215
9,1,0.6895,.1420
10,1,0.702655,.1570
20,0.9875,0.78901,.3085
30,0.975,0.80482,.6018
40,0.965,0.82368,1.0587
50,0.952,0.842305,1.5061
60,0.9475,0.84318,2.1917
70,0.943572,0.849705,2.6186
80,0.936875,0.85739,2.9734
90,0.946111,0.85403,3.9203
100,0.9365,0.850355,4.5198
110,0.925455,0.856215,5.2967
120,0.931667,0.85959,6.3973
130,0.935385,0.8649,6.6640
140,0.926071,0.861215,7.9406
150,0.929,0.867505,9.3814
160,0.921875,0.860645,9.6975
170,0.924412,0.86792,10.5015
180,0.921944,0.86924,11.1960
190,0.917105,0.860755,12.9149
200,0.91625,0.868715,12.7695
210,0.919286,0.867145,16.0410
220,0.923864,0.872515,15.6427
230,0.923043,0.87327,17.5930
240,0.911667,0.87404,20.5635
250,0.9126,0.87038,20.4675
