SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.52276,.1363
2,1,0.634625,.1469
3,1,0.66349,.1562
4,1,0.621575,.1750
5,1,0.65947,.1805
6,1,0.62462,.2027
7,1,0.695855,.1987
8,1,0.721415,.1987
9,1,0.7028,.2203
10,0.99,0.694635,.2389
20,0.9625,0.778825,.5584
30,0.936667,0.776305,1.3289
40,0.93875,0.808095,2.0530
50,0.931,0.819275,2.4938
60,0.920833,0.820635,3.5785
70,0.925714,0.837465,4.3884
80,0.9125,0.841785,4.5977
90,0.926111,0.85084,5.7661
100,0.907,0.855355,6.9374
110,0.908636,0.856535,7.9616
120,0.91875,0.86176,8.6891
130,0.909615,0.864425,8.8087
140,0.906072,0.854905,10.0056
150,0.911667,0.866035,12.4726
160,0.912187,0.863685,12.6990
170,0.903823,0.859495,14.0253
180,0.908056,0.86969,16.5665
190,0.907105,0.87142,17.1456
200,0.91275,0.87044,16.9418
210,0.907857,0.865885,18.9412
220,0.910227,0.87011,18.0579
230,0.898261,0.8742,21.8661
240,0.902292,0.876185,21.0872
250,0.8994,0.875365,22.8816
