SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.527275,.8187
2,1,0.485565,.8448
3,1,0.499385,.9404
4,1,0.497605,1.0654
5,1,0.53915,1.0006
6,1,0.59735,1.0623
7,1,0.589845,1.1019
8,1,0.622185,1.1575
9,0.9998,0.609225,1.1940
10,1,0.63527,1.2232
20,0.997,0.7,16.7826
30,0.9938,0.72071,177.0523
40,0.9882,0.7648,784.3067
50,0.973,0.7945,
60,0.978,0.81,
70,0.9712,0.8156,
80,0.962,0.8154,
90,0.955,0.8144,
100,0.951,0.817,
110,0.947,0.822,
120,0.941,0.829,
130,0.932,0.831,
140,0.927,0.834,
150,0.924,0.839,
160,0.92,0.837,
170,0.907,0.838,
180,0.903,0.839,
190,0.901,0.841,
200,0.901,0.843,
210,0.898,0.847,
220,0.896,0.839,
230,0.8931,0.846,
240,0.8922,0.851,
250,0.8904,0.84815,43482.2032
