SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.50664,.5177
2,1,0.591675,.4919
3,1,0.574995,.5274
4,1,0.53938,.5280
5,1,0.607645,.5880
6,1,0.5939,.6266
7,1,0.70825,.6507
8,1,0.77158,.6328
9,0.98,0.698995,.8453
10,0.981818,0.686045,1.2158
20,0.95,0.787315,2.7372
30,0.956452,0.87595,2.6360
40,0.968293,0.87121,3.2281
50,0.951961,0.891335,4.9865
60,0.953279,0.8987,4.8857
70,0.949296,0.898485,6.3834
80,0.95,0.897495,7.2948
90,0.940659,0.89452,6.8746
100,0.943069,0.900895,8.9651
110,0.941892,0.902345,10.1827
120,0.943802,0.9139,11.8176
130,0.94084,0.90845,12.0056
140,0.943617,0.902525,11.1706
150,0.939404,0.912725,14.4012
160,0.935404,0.908,13.1128
170,0.945614,0.911155,15.3904
180,0.940055,0.914885,18.0927
190,0.942408,0.91339,19.3030
200,0.938557,0.915345,17.5040
210,0.941232,0.912725,23.4049
220,0.934163,0.91858,23.0961
230,0.945238,0.9184,21.2799
240,0.937345,0.918905,24.5129
250,0.935259,0.91819,25.2125
