SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.466795,.3314
2,1,0.548575,.3368
3,1,0.590195,.3465
4,1,0.63242,.3541
5,1,0.718335,.3674
6,1,0.68601,.3663
7,1,0.73202,.3795
8,1,0.752845,.3912
9,1,0.75535,.4047
10,1,0.773775,.5735
20,0.99,0.838705,2.4863
30,0.99,0.871665,3.2484
40,0.985,0.87559,4.2506
50,0.974,0.885955,5.1111
60,0.975833,0.880415,6.6308
70,0.975714,0.90182,7.4696
80,0.975,0.8939,9.5459
90,0.975556,0.908495,10.7093
100,0.962,0.90372,13.9519
110,0.960909,0.90582,16.3140
120,0.962917,0.91809,21.4227
130,0.966154,0.915385,20.9431
140,0.9625,0.9222,22.6368
150,0.961,0.91114,26.3593
160,0.961562,0.91417,30.9169
170,0.96147,0.92568,32.3718
180,0.959722,0.92274,35.5051
190,0.959737,0.92595,49.1507
200,0.958,0.927505,43.8984
210,0.96381,0.92318,43.0757
220,0.956136,0.926305,46.2133
230,0.959565,0.928365,54.3230
240,0.958125,0.93006,58.6083
250,0.9566,0.932375,54.3190
