SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.43625,.3611
2,1,0.519535,.3598
3,1,0.55397,.3820
4,1,0.52752,.3732
5,1,0.506385,.4161
6,1,0.535885,.4909
7,0.992857,0.549595,.5588
8,0.99375,0.53111,.5765
9,0.972222,0.572275,.7485
10,0.99,0.574175,.6950
20,0.9175,0.59015,2.1071
30,0.875,0.646845,4.1762
40,0.86125,0.670255,4.7812
50,0.844,0.674975,7.1395
60,0.845,0.68508,7.7738
70,0.83,0.69437,10.0078
80,0.809375,0.698925,14.3954
90,0.811111,0.69869,17.9474
100,0.807,0.699265,18.2445
110,0.815,0.710405,20.4365
120,0.8025,0.70616,28.8630
130,0.805,0.717305,29.5199
140,0.789286,0.713745,36.8698
150,0.786,0.713265,43.2498
160,0.786562,0.71136,43.0145
170,0.791471,0.71706,48.0423
180,0.791111,0.722905,56.0151
190,0.781842,0.71505,59.2562
200,0.77825,0.70675,66.0461
210,0.787381,0.72685,68.5493
220,0.780682,0.728005,77.5082
230,0.785652,0.72162,67.6478
240,0.780625,0.725365,70.6568
250,0.7778,0.721075,80.3614
