SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.52523,1.5176
2,1,0.54514,1.5129
3,1,0.536285,1.6073
4,1,0.50809,1.7365
5,1,0.55723,2.0370
6,1,0.565545,1.8398
7,0.992857,0.542735,2.4396
8,0.9875,0.596665,3.0785
9,0.983333,0.59484,3.5643
10,0.975,0.586,4.2943
20,0.94,0.640585,12.8919
30,0.903333,0.644875,15.6248
40,0.87875,0.70161,19.8262
50,0.868,0.694625,23.6991
60,0.8625,0.71502,32.4569
70,0.865714,0.73884,44.1950
80,0.85125,0.74787,58.2410
90,0.841111,0.73089,69.3904
100,0.8475,0.74845,144.5675
110,0.837727,0.741605,193.5970
120,0.84,0.751345,104.2153
130,0.833846,0.748115,119.0433
140,0.838929,0.750545,286.8411
150,0.832333,0.761225,359.8551
160,0.843125,0.761675,156.3721
170,0.824118,0.7739,202.1976
180,0.826667,0.764965,519.9588
190,0.828947,0.769095,343.6273
200,0.8225,0.76711,847.9333
210,0.822857,0.770535,434.5978
220,0.828182,0.763095,531.4694
230,0.82,0.768685,659.1318
240,0.824167,0.77112,637.0175
250,0.826,0.76601,427.0498
