SampleSize,X-UIUP-Training%,X-UIUP-Testing%,X-UIUP-TrainingTime(s)
1,1,0.55322,2.7517
2,1,0.59459,3.0402
3,1,0.648095,2.9667
4,1,0.64957,2.9383
5,1,0.65817,3.2890
6,1,0.72202,3.2853
7,1,0.654295,3.9842
8,1,0.77041,3.9181
9,1,0.755225,4.6905
10,1,0.800695,5.1616
20,0.995,0.864445,11.0755
30,0.993333,0.90229,18.8598
40,0.99,0.91662,19.8250
50,0.985,0.92437,29.4681
60,0.9775,0.90272,38.3638
70,0.985714,0.93676,33.5106
80,0.976875,0.92592,44.4656
90,0.982222,0.9425,52.0298
100,0.9795,0.93876,56.7882
110,0.979091,0.947675,63.4315
120,0.974583,0.948305,73.3984
130,0.978077,0.94776,97.4941
140,0.980714,0.947915,95.3430
150,0.980333,0.954595,78.2517
160,0.977812,0.952815,88.1536
170,0.973235,0.949355,97.2967
180,0.976389,0.958375,108.4990
190,0.976316,0.95647,108.1745
200,0.975,0.957705,122.8688
210,0.974762,0.95989,123.6696
220,0.974091,0.953795,162.5820
230,0.973261,0.960205,152.5121
240,0.977083,0.95962,145.6112
250,0.976,0.95962,183.0505
